"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 22:37:13 WIB 2023","Fri Mar 31 22:37:13 WIB 2023","66","","form page: test chai form","","","","And I select jenis_pengujian 5 and kartu_uji 2",""
"skipped","Fri Mar 31 08:48:18 WIB 2023","Fri Mar 31 08:48:18 WIB 2023","0","","form page: test chai form","","","","And I click submit button",""
"broken","Fri Mar 31 22:31:42 WIB 2023","Fri Mar 31 22:31:42 WIB 2023","0","","form page: test chai form","","","","Then I select search_category no_uji_kend and enter search no_uji AJ011001123 and press enter",""
"passed","Fri Mar 31 20:44:54 WIB 2023","Fri Mar 31 20:44:54 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Fri Mar 31 22:51:27 WIB 2023","Fri Mar 31 22:51:29 WIB 2023","2170","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"passed","Sun Apr 02 08:27:08 WIB 2023","Sun Apr 02 08:27:11 WIB 2023","3134","","form page: test chai form","","","","And I select search_category no_uji_kend and enter search no_uji AJ011001123 and press enter",""
"passed","Sun Apr 02 06:48:02 WIB 2023","Sun Apr 02 06:48:02 WIB 2023","1","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Sun Apr 02 08:27:00 WIB 2023","Sun Apr 02 08:27:03 WIB 2023","3047","","form page: test chai form","","","","And I select jenis_pengujian 1 and kartu_uji 2",""
"passed","Fri Mar 31 19:37:13 WIB 2023","Fri Mar 31 19:37:13 WIB 2023","0","","form page: test chai form","","","","",""
"skipped","Fri Mar 31 19:22:55 WIB 2023","Fri Mar 31 19:22:55 WIB 2023","0","","form page: test chai form","","","","And I click submit button",""
"passed","Mon Apr 03 06:14:42 WIB 2023","Mon Apr 03 06:14:42 WIB 2023","0","","Test End to End User from resttest: Validate End to End Get Single User","","","","",""
"broken","Fri Mar 31 22:25:35 WIB 2023","Fri Mar 31 22:25:35 WIB 2023","1","","form page: test chai form","","","","Then I click button edit",""
"passed","Mon Apr 03 07:56:40 WIB 2023","Mon Apr 03 07:56:45 WIB 2023","5179","","Test End to End User from resttest: Validate End to End Get Single User","","","","When I perform /api/users/2 user search",""
"broken","Fri Mar 31 22:34:41 WIB 2023","Fri Mar 31 22:34:41 WIB 2023","2","","form page: test chai form","","","","Then I select search_category no_uji_kend and enter search no_uji AJ011001123 and press enter",""
"skipped","Fri Mar 31 20:47:38 WIB 2023","Fri Mar 31 20:47:38 WIB 2023","0","","form page: test chai form","","","","And I select jenis_kendaraan 5",""
"passed","Fri Mar 31 20:17:56 WIB 2023","Fri Mar 31 20:17:56 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Sun Apr 02 08:27:00 WIB 2023","Sun Apr 02 08:27:00 WIB 2023","174","","form page: test chai form","","","","When I enter no_uji AJ011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
"broken","Wed Mar 29 17:12:26 WIB 2023","Wed Mar 29 17:12:26 WIB 2023","1","","Home Page: Home page area","","","","Given I open the browser and load the url  https://the-internet.herokuapp.com/",""
"skipped","Sun Apr 02 08:44:41 WIB 2023","Sun Apr 02 08:44:41 WIB 2023","0","","form page: test chai form","","","","Then I click submit button",""
